t,u1,u2,reward
0,2.104249890025152,0.7692863804890194,0.0
1,2.1355034680048885,1.6901382038260813,0.0
2,2.194896275755945,2.6073181762508435,0.0
3,2.384338306371189,3.5262885192751128,0.0
4,2.6319668651462664,4.440912990917865,0.0
5,2.8784991311589825,5.329516161546849,0.0
6,3.177906196482282,6.2064964377312135,0.0
7,3.448898915025799,7.0462735897207525,0.0
8,3.8031773420868364,7.937569667153922,0.0
9,4.167143577300839,8.80313454944474,0.0
10,4.555017847567762,9.688609639656761,0.0
11,4.933748706572976,9.828267581438112,0.0
12,5.290965630313966,9.89077567098116,0.0
13,5.660685018678691,9.960273612227354,0.0
14,6.008637019490771,10.028699753089668,0.0
15,6.375513663680208,10.13537500281274,0.0
16,6.727415156299859,10.183370260337584,0.0
17,7.061177164648758,10.235073319689965,0.0
18,7.4122139327671315,10.3559903713173,0.0
19,7.800390839440913,10.428565452244198,0.0
20,8.163074445246028,10.52455703539278,0.0
21,8.547844166625584,10.56373237266793,0.0
22,8.921763279794199,10.652898045538228,0.0
23,9.274083733106353,10.762115040553992,0.0
24,9.646762363528927,10.827248365943456,0.0
25,10.001091676487619,10.896266926090588,0.0
26,10.348987074367155,10.996804852995712,0.0
27,10.703101645998533,11.038962430355069,0.0
28,11.053091440974034,11.137914087559723,0.0
29,11.398270681014042,11.22974558573505,0.0
30,11.774597282892795,11.362289679251496,0.0
31,12.11277749547256,11.454699437541338,0.0
32,12.50766102656962,11.541828123047233,0.0
33,12.868213964691767,11.583903013017924,0.0
34,13.206558000034287,11.707616401296992,0.0
35,13.595538373475938,11.781447943559419,0.0
36,13.962152111197089,11.90600619953628,0.0
37,14.264289633055187,11.968149309947718,0.0
38,14.61612842432321,12.032084404655325,0.0
39,14.962313128918897,12.121097838377514,0.0
40,15.31162499062885,12.167651618082996,0.0
41,15.617150517579999,12.22299313547529,0.0
42,15.953995444292682,12.245575401331498,0.0
43,16.327571246592303,12.279099296060778,0.0
44,16.699531766470475,12.33843126325839,0.0
45,17.01076819569066,12.427008089819942,0.0
46,17.383993277360506,12.454941045041913,0.0
47,17.712607580368676,12.498705933393673,0.0
48,18.056158089432433,12.531291372802288,0.0
49,18.41411816657135,12.551448023682793,0.0
50,18.714353189788376,12.616270613977436,0.0
51,19.068098675121803,12.714403071989194,0.0
52,19.408153421394726,12.750552377367292,0.0
53,19.74367941099806,12.826216418539458,0.0
54,20.049269193023402,12.888295358422146,0.0
55,20.413907147711768,12.992251826635162,0.0
56,20.753329257322164,13.045673133047,0.0
57,21.08147008531186,13.131482332423795,0.0
58,21.467542358120212,13.26189555013935,0.0
59,21.78847099300162,13.38417737776383,0.0
60,22.147544604422734,13.50713127760201,1.0
