x,y
8.839315772056579590e-01,6.993589997291564941e-01
8.753667473793029785e-01,6.622090339660644531e-01
8.658744096755981445e-01,6.211445331573486328e-01
8.559215664863586426e-01,5.796468257904052734e-01
8.457148075103759766e-01,5.390112400054931641e-01
8.359575867652893066e-01,5.029139518737792969e-01
8.252992033958435059e-01,4.652324616909027100e-01
8.149580955505371094e-01,4.317648112773895264e-01
8.051848411560058594e-01,4.022144675254821777e-01
7.948756814002990723e-01,3.770686089992523193e-01
7.858250141143798828e-01,3.547380566596984863e-01
9.111417084932327271e-02,1.215594038367271423e-01
9.052117913961410522e-02,1.210065409541130066e-01
8.984797447919845581e-02,1.202517524361610413e-01
8.927865326404571533e-02,1.197921782732009888e-01
8.845344185829162598e-02,1.194590777158737183e-01
8.738584071397781372e-02,1.196005642414093018e-01
8.577220141887664795e-02,1.193708479404449463e-01
8.412486314773559570e-02,1.189973205327987671e-01
8.250012248754501343e-02,1.185944229364395142e-01
8.079482614994049072e-02,1.182462871074676514e-01
7.922363281250000000e-02,1.179390475153923035e-01
7.761057466268539429e-02,1.177191510796546936e-01
7.607484608888626099e-02,1.173527389764785767e-01
7.452306151390075684e-02,1.171905919909477234e-01
7.288575172424316406e-02,1.169153898954391479e-01
7.122860103845596313e-02,1.167607381939888000e-01
6.939698755741119385e-02,1.163835749030113220e-01
6.813261657953262329e-02,1.166929900646209717e-01
6.684941798448562622e-02,1.171490326523780823e-01
6.557422876358032227e-02,1.175908297300338745e-01
6.426814198493957520e-02,1.180267632007598877e-01
6.297530233860015869e-02,1.184083595871925354e-01
6.157394498586654663e-02,1.188398227095603943e-01
5.831813439726829529e-02,1.204475536942481995e-01
5.499775707721710205e-02,1.220736205577850342e-01
5.156986787915229797e-02,1.237508654594421387e-01
4.829864203929901123e-02,1.256460398435592651e-01
4.532378539443016052e-02,1.278445571660995483e-01
4.233535751700401306e-02,1.302901208400726318e-01
3.975442424416542053e-02,1.336131542921066284e-01
3.658206760883331299e-02,1.368736922740936279e-01
3.290482610464096069e-02,1.401817500591278076e-01
2.933877333998680115e-02,1.434077471494674683e-01
2.576658315956592560e-02,1.460777819156646729e-01
2.283654361963272095e-02,1.468357145786285400e-01
1.991023682057857513e-02,1.476225852966308594e-01
1.685106754302978516e-02,1.484334617853164673e-01
1.407490111887454987e-02,1.488892585039138794e-01
1.129181403666734695e-02,1.492586135864257812e-01
8.430892601609230042e-03,1.496696919202804565e-01
5.490620620548725128e-03,1.500527560710906982e-01
2.599784871563315392e-03,1.504803150892257690e-01
-3.609806008171290159e-04,1.509447991847991943e-01
-3.527298802509903908e-03,1.513175815343856812e-01
-6.664043292403221130e-03,1.517369151115417480e-01
-9.855427779257297516e-03,1.521920710802078247e-01
-1.309403404593467712e-02,1.526764780282974243e-01
-1.638939231634140015e-02,1.519464105367660522e-01
-1.967775076627731323e-02,1.511946469545364380e-01
-2.291862107813358307e-02,1.505285203456878662e-01
