t,u1,u2,reward
0,1.419512223506016,1.1217237657450982,0.0
1,1.2456504234765442,2.049482801812246,0.0
2,1.2041077905386424,3.0023313878802056,0.0
3,1.3018699427014304,3.9841595713832687,0.0
4,1.5776220000436294,4.940125983141502,0.0
5,1.9446001329827862,5.80847082073701,0.0
6,2.4050131711956815,6.641324728463479,0.0
7,2.952909074769698,7.423988265551638,0.0
8,3.5149263846831493,8.14418911681375,0.0
9,4.1507462766748295,8.86468139377121,0.0
10,4.732068912234013,9.592541842230647,0.0
11,5.34551402331049,9.822329382494578,0.0
12,6.017634049911999,10.084123107146551,0.0
13,6.6200803370945005,10.368806848917105,0.0
14,7.230958360003534,10.601634420513538,0.0
15,7.860492615515806,10.833004830629257,0.0
16,8.435176174153042,11.086534314478026,0.0
17,9.074266765867714,11.412562435629182,0.0
18,9.69862832775366,11.752165095171202,0.0
19,10.272913763947539,12.07959616746347,0.0
20,10.878921895620104,12.380264832422233,0.0
21,11.477721976527528,12.747822689414896,0.0
22,12.045320208632736,13.069721650635001,0.0
23,12.665332207569138,13.376429775485624,0.0
24,13.258562664862373,13.757435712124792,0.0
25,13.819924475631602,14.134397838298408,0.0
26,14.424036617219839,14.547331723111265,0.0
27,15.015001899225723,14.951311506384686,0.0
28,15.62071735253966,15.328562219113763,0.0
29,16.20017654536226,15.77633723703654,0.0
30,16.730347103456953,16.15512277719203,0.0
31,17.297801508817617,16.584395454680106,0.0
32,17.85490202773984,17.013953124297597,0.0
33,18.384649495316925,17.44080735163401,0.0
34,18.945700367673318,17.85691848129499,0.0
35,19.5218965661817,18.27635939341367,0.0
36,20.083436233752177,18.689011755525673,0.0
37,20.644472796480677,19.121093038807754,0.0
38,21.163976194180833,19.606894433035315,0.0
39,21.69050411743297,20.135856514588284,0.0
40,22.18672189267447,20.632084595002894,0.0
41,22.703092893172194,21.11706173829416,0.0
42,23.197405218558913,21.596434544280857,0.0
43,23.70110195109551,22.179635941516462,0.0
44,24.18798008637018,22.764063984664375,0.0
45,24.581942305937236,23.349429041401095,0.0
46,25.024621552023458,23.976533409142476,0.0
47,25.420232014379238,24.609348997173594,0.0
48,25.770001052428043,25.200816596155576,0.0
49,26.180615191239237,25.811087767806324,0.0
50,26.495224327761687,26.46996754884057,0.0
51,26.813018770051002,27.149336740261013,0.0
52,27.12519791609727,27.799985441949072,0.0
53,27.43073971149351,28.481058295118793,0.0
54,27.752431700087325,29.156956809503065,0.0
55,27.99210828748703,29.90079851908781,0.0
56,28.222764238665857,30.574362072763947,0.0
57,28.423935817522484,31.27330992434936,0.0
58,28.64667753235835,32.035880508298405,0.0
59,28.83651126641478,32.818114356409694,0.0
60,28.962822612155815,33.61126520259404,1.0
